Timestamp | Severity | Message
20230204-16:23:23 | Information | Starte Optimierung von .\Listen\Jugendschutz.txt 
20230204-16:24:06 | Information | Disclamer zu .\Listen\Jugendschutz.txt hinzugefügt
20230204-16:24:06 | Information | Schreibe die Optimirten URLs in .\Listen\Jugendschutz.txt 
20230204-16:25:09 | Information | Optimisirung abgeschlossen, in .\Listen\Jugendschutz.txt es wurden 4272 Doppelte ZRLs gefunden
20230204-16:25:09 | Information | Starte Optimierung von .\Listen\Malware.txt 
20230204-16:26:11 | Information | Disclamer zu .\Listen\Malware.txt hinzugefügt
20230204-16:26:11 | Information | Schreibe die Optimirten URLs in .\Listen\Malware.txt 
20230204-16:26:56 | Information | Optimisirung abgeschlossen, in .\Listen\Malware.txt es wurden 146902 Doppelte ZRLs gefunden
20230204-16:26:56 | Information | Starte Optimierung von .\Listen\Phishing_Domain-Squatting.txt 
20230204-16:26:59 | Information | Disclamer zu .\Listen\Phishing_Domain-Squatting.txt hinzugefügt
20230204-16:26:59 | Information | Schreibe die Optimirten URLs in .\Listen\Phishing_Domain-Squatting.txt 
20230204-16:27:04 | Information | Optimisirung abgeschlossen, in .\Listen\Phishing_Domain-Squatting.txt es wurden 10601 Doppelte ZRLs gefunden
20230204-16:27:04 | Information | Starte Optimierung von .\Listen\FakeshopsAboFallen.txt 
20230204-16:27:07 | Information | Disclamer zu .\Listen\FakeshopsAboFallen.txt hinzugefügt
20230204-16:27:07 | Information | Schreibe die Optimirten URLs in .\Listen\FakeshopsAboFallen.txt 
20230204-16:27:12 | Information | Optimisirung abgeschlossen, in .\Listen\FakeshopsAboFallen.txt es wurden 10601 Doppelte ZRLs gefunden
20230204-16:27:12 | Information | Update Abgeschlossen
20230204-16:27:12 | Information | Zählen der URLs
20230204-16:27:12 | Information | Alles Listen Zusammen haben 0 URLs
20230204-19:23:46 | Information | Löschen aller Listen
20230204-19:23:46 | Information | Starte Update
20230204-19:23:46 | Information | Beginne mit dem Update von Sonstiges
